case	assertion	expected	actual	result
1_immediate	exit_code	0	0	pass
1_immediate	forced	false	false	pass
1_immediate	workload_budget_expired_count	0	0	pass
1_immediate	shutdown_complete_count	1	1	pass
1_immediate	finalization_complete_count	1	1	pass
1_immediate	http_shutdown_count	1	1	pass
1_immediate	http_result	drained	drained	pass
1_immediate	shutdown_before_total	1000	22.484	pass
1_immediate	finalization_within_cap	20	20	pass
1_immediate	http_within_cap	250	0.036	pass
1_just_before	exit_code	0	0	pass
1_just_before	forced	false	false	pass
1_just_before	workload_budget_expired_count	0	0	pass
1_just_before	shutdown_complete_count	1	1	pass
1_just_before	finalization_complete_count	1	1	pass
1_just_before	http_shutdown_count	1	1	pass
1_just_before	http_result	drained	drained	pass
1_just_before	shutdown_before_total	1000	674.507	pass
1_just_before	finalization_within_cap	20	20	pass
1_just_before	http_within_cap	250	0.043	pass
1_after_deadline	exit_code	137	137	pass
1_after_deadline	forced	true	true	pass
1_after_deadline	workload_budget_expired_count	1	1	pass
1_after_deadline	shutdown_complete_count	1	1	pass
1_after_deadline	finalization_complete_count	1	1	pass
1_after_deadline	http_shutdown_count	1	1	pass
1_after_deadline	http_result	drained	drained	pass
1_after_deadline	shutdown_before_total	1000	773.309	pass
1_after_deadline	finalization_within_cap	20	20	pass
1_after_deadline	http_within_cap	250	0.062	pass
1_after_deadline	workload_not_killed_before_budget	750	773.309	pass
1_never	exit_code	137	137	pass
1_never	forced	true	true	pass
1_never	workload_budget_expired_count	1	1	pass
1_never	shutdown_complete_count	1	1	pass
1_never	finalization_complete_count	1	1	pass
1_never	http_shutdown_count	1	1	pass
1_never	http_result	drained	drained	pass
1_never	shutdown_before_total	1000	777.234	pass
1_never	finalization_within_cap	20	20	pass
1_never	http_within_cap	250	0.746	pass
1_never	workload_not_killed_before_budget	750	777.234	pass
5_immediate	exit_code	0	0	pass
5_immediate	forced	false	false	pass
5_immediate	workload_budget_expired_count	0	0	pass
5_immediate	shutdown_complete_count	1	1	pass
5_immediate	finalization_complete_count	1	1	pass
5_immediate	http_shutdown_count	1	1	pass
5_immediate	http_result	drained	drained	pass
5_immediate	shutdown_before_total	5000	20.624	pass
5_immediate	finalization_within_cap	20	20	pass
5_immediate	http_within_cap	250	0.079	pass
5_just_before	exit_code	0	0	pass
5_just_before	forced	false	false	pass
5_just_before	workload_budget_expired_count	0	0	pass
5_just_before	shutdown_complete_count	1	1	pass
5_just_before	finalization_complete_count	1	1	pass
5_just_before	http_shutdown_count	1	1	pass
5_just_before	http_result	drained	drained	pass
5_just_before	shutdown_before_total	5000	3930.539	pass
5_just_before	finalization_within_cap	20	20	pass
5_just_before	http_within_cap	250	0.088	pass
5_after_deadline	exit_code	137	137	pass
5_after_deadline	forced	true	true	pass
5_after_deadline	workload_budget_expired_count	1	1	pass
5_after_deadline	shutdown_complete_count	1	1	pass
5_after_deadline	finalization_complete_count	1	1	pass
5_after_deadline	http_shutdown_count	1	1	pass
5_after_deadline	http_result	drained	drained	pass
5_after_deadline	shutdown_before_total	5000	4023.113	pass
5_after_deadline	finalization_within_cap	20	20	pass
5_after_deadline	http_within_cap	250	0.105	pass
5_after_deadline	workload_not_killed_before_budget	4000	4023.113	pass
5_never	exit_code	137	137	pass
5_never	forced	true	true	pass
5_never	workload_budget_expired_count	1	1	pass
5_never	shutdown_complete_count	1	1	pass
5_never	finalization_complete_count	1	1	pass
5_never	http_shutdown_count	1	1	pass
5_never	http_result	drained	drained	pass
5_never	shutdown_before_total	5000	4022.429	pass
5_never	finalization_within_cap	20	20	pass
5_never	http_within_cap	250	0.044	pass
5_never	workload_not_killed_before_budget	4000	4022.429	pass
10_immediate	exit_code	0	0	pass
10_immediate	forced	false	false	pass
10_immediate	workload_budget_expired_count	0	0	pass
10_immediate	shutdown_complete_count	1	1	pass
10_immediate	finalization_complete_count	1	1	pass
10_immediate	http_shutdown_count	1	1	pass
10_immediate	http_result	drained	drained	pass
10_immediate	shutdown_before_total	10000	23.148	pass
10_immediate	finalization_within_cap	20	20	pass
10_immediate	http_within_cap	250	0.047	pass
10_just_before	exit_code	0	0	pass
10_just_before	forced	false	false	pass
10_just_before	workload_budget_expired_count	0	0	pass
10_just_before	shutdown_complete_count	1	1	pass
10_just_before	finalization_complete_count	1	1	pass
10_just_before	http_shutdown_count	1	1	pass
10_just_before	http_result	drained	drained	pass
10_just_before	shutdown_before_total	10000	8935.097	pass
10_just_before	finalization_within_cap	20	20	pass
10_just_before	http_within_cap	250	0.041	pass
10_after_deadline	exit_code	137	137	pass
10_after_deadline	forced	true	true	pass
10_after_deadline	workload_budget_expired_count	1	1	pass
10_after_deadline	shutdown_complete_count	1	1	pass
10_after_deadline	finalization_complete_count	1	1	pass
10_after_deadline	http_shutdown_count	1	1	pass
10_after_deadline	http_result	drained	drained	pass
10_after_deadline	shutdown_before_total	10000	9039.308	pass
10_after_deadline	finalization_within_cap	20	20	pass
10_after_deadline	http_within_cap	250	0.120	pass
10_after_deadline	workload_not_killed_before_budget	9000	9039.308	pass
10_never	exit_code	137	137	pass
10_never	forced	true	true	pass
10_never	workload_budget_expired_count	1	1	pass
10_never	shutdown_complete_count	1	1	pass
10_never	finalization_complete_count	1	1	pass
10_never	http_shutdown_count	1	1	pass
10_never	http_result	drained	drained	pass
10_never	shutdown_before_total	10000	9028.187	pass
10_never	finalization_within_cap	20	20	pass
10_never	http_within_cap	250	0.065	pass
10_never	workload_not_killed_before_budget	9000	9028.187	pass
30_immediate	exit_code	0	0	pass
30_immediate	forced	false	false	pass
30_immediate	workload_budget_expired_count	0	0	pass
30_immediate	shutdown_complete_count	1	1	pass
30_immediate	finalization_complete_count	1	1	pass
30_immediate	http_shutdown_count	1	1	pass
30_immediate	http_result	drained	drained	pass
30_immediate	shutdown_before_total	30000	24.815	pass
30_immediate	finalization_within_cap	20	20	pass
30_immediate	http_within_cap	250	0.133	pass
30_just_before	exit_code	0	0	pass
30_just_before	forced	false	false	pass
30_just_before	workload_budget_expired_count	0	0	pass
30_just_before	shutdown_complete_count	1	1	pass
30_just_before	finalization_complete_count	1	1	pass
30_just_before	http_shutdown_count	1	1	pass
30_just_before	http_result	drained	drained	pass
30_just_before	shutdown_before_total	30000	27935.941	pass
30_just_before	finalization_within_cap	20	20	pass
30_just_before	http_within_cap	250	0.074	pass
30_after_deadline	exit_code	137	137	pass
30_after_deadline	forced	true	true	pass
30_after_deadline	workload_budget_expired_count	1	1	pass
30_after_deadline	shutdown_complete_count	1	1	pass
30_after_deadline	finalization_complete_count	1	1	pass
30_after_deadline	http_shutdown_count	1	1	pass
30_after_deadline	http_result	drained	drained	pass
30_after_deadline	shutdown_before_total	30000	28062.445	pass
30_after_deadline	finalization_within_cap	20	20	pass
30_after_deadline	http_within_cap	250	0.138	pass
30_after_deadline	workload_not_killed_before_budget	28000	28062.445	pass
30_never	exit_code	137	137	pass
30_never	forced	true	true	pass
30_never	workload_budget_expired_count	1	1	pass
30_never	shutdown_complete_count	1	1	pass
30_never	finalization_complete_count	1	1	pass
30_never	http_shutdown_count	1	1	pass
30_never	http_result	drained	drained	pass
30_never	shutdown_before_total	30000	28024.567	pass
30_never	finalization_within_cap	20	20	pass
30_never	http_within_cap	250	0.079	pass
30_never	workload_not_killed_before_budget	28000	28024.567	pass
60_immediate	exit_code	0	0	pass
60_immediate	forced	false	false	pass
60_immediate	workload_budget_expired_count	0	0	pass
60_immediate	shutdown_complete_count	1	1	pass
60_immediate	finalization_complete_count	1	1	pass
60_immediate	http_shutdown_count	1	1	pass
60_immediate	http_result	drained	drained	pass
60_immediate	shutdown_before_total	60000	24.140	pass
60_immediate	finalization_within_cap	20	20	pass
60_immediate	http_within_cap	250	0.036	pass
60_just_before	exit_code	0	0	pass
60_just_before	forced	false	false	pass
60_just_before	workload_budget_expired_count	0	0	pass
60_just_before	shutdown_complete_count	1	1	pass
60_just_before	finalization_complete_count	1	1	pass
60_just_before	http_shutdown_count	1	1	pass
60_just_before	http_result	drained	drained	pass
60_just_before	shutdown_before_total	60000	57941.380	pass
60_just_before	finalization_within_cap	20	20	pass
60_just_before	http_within_cap	250	0.035	pass
60_after_deadline	exit_code	137	137	pass
60_after_deadline	forced	true	true	pass
60_after_deadline	workload_budget_expired_count	1	1	pass
60_after_deadline	shutdown_complete_count	1	1	pass
60_after_deadline	finalization_complete_count	1	1	pass
60_after_deadline	http_shutdown_count	1	1	pass
60_after_deadline	http_result	drained	drained	pass
60_after_deadline	shutdown_before_total	60000	58078.702	pass
60_after_deadline	finalization_within_cap	20	20	pass
60_after_deadline	http_within_cap	250	0.085	pass
60_after_deadline	workload_not_killed_before_budget	58000	58078.702	pass
60_never	exit_code	137	137	pass
60_never	forced	true	true	pass
60_never	workload_budget_expired_count	1	1	pass
60_never	shutdown_complete_count	1	1	pass
60_never	finalization_complete_count	1	1	pass
60_never	http_shutdown_count	1	1	pass
60_never	http_result	drained	drained	pass
60_never	shutdown_before_total	60000	58050.850	pass
60_never	finalization_within_cap	20	20	pass
60_never	http_within_cap	250	0.107	pass
60_never	workload_not_killed_before_budget	58000	58050.850	pass
