filesystem	strategy	interval_ms	case	expected	actual	result
layer	poll	10ms	initial_file	observed	observed	pass
layer	poll	10ms	initially_absent_then_created	observed	observed	pass
layer	poll	10ms	atomic_rename	observed	observed	pass
layer	poll	10ms	repeated_replacement_100	final_observed	observed	pass
layer	poll	10ms	writer_crash_before_rename	last_valid_103	103	pass
layer	poll	10ms	invalid_update_retains_last_valid	103	103	pass
layer	poll	10ms	file_deletion_retains_last_valid	103	103	pass
layer	poll	10ms	directory_recreation	observed	observed	pass
layer	poll	10ms	metricshell_restart	initial_state_observed	observed	pass
layer	poll	100ms	initial_file	observed	observed	pass
layer	poll	100ms	initially_absent_then_created	observed	observed	pass
layer	poll	100ms	atomic_rename	observed	observed	pass
layer	poll	100ms	repeated_replacement_100	final_observed	observed	pass
layer	poll	100ms	writer_crash_before_rename	last_valid_103	103	pass
layer	poll	100ms	invalid_update_retains_last_valid	103	103	pass
layer	poll	100ms	file_deletion_retains_last_valid	103	103	pass
layer	poll	100ms	directory_recreation	observed	observed	pass
layer	poll	100ms	metricshell_restart	initial_state_observed	observed	pass
layer	poll	1s	initial_file	observed	observed	pass
layer	poll	1s	initially_absent_then_created	observed	observed	pass
layer	poll	1s	atomic_rename	observed	observed	pass
layer	poll	1s	repeated_replacement_100	final_observed	observed	pass
layer	poll	1s	writer_crash_before_rename	last_valid_103	103	pass
layer	poll	1s	invalid_update_retains_last_valid	103	103	pass
layer	poll	1s	file_deletion_retains_last_valid	103	103	pass
layer	poll	1s	directory_recreation	observed	observed	pass
layer	poll	1s	metricshell_restart	initial_state_observed	observed	pass
layer	inotify	1s	initial_file	observed	observed	pass
layer	inotify	1s	initially_absent_then_created	observed	observed	pass
layer	inotify	1s	atomic_rename	observed	observed	pass
layer	inotify	1s	repeated_replacement_100	final_observed	observed	pass
layer	inotify	1s	writer_crash_before_rename	last_valid_103	103	pass
layer	inotify	1s	invalid_update_retains_last_valid	103	103	pass
layer	inotify	1s	file_deletion_retains_last_valid	103	103	pass
layer	inotify	1s	directory_recreation	observed	observed	pass
layer	inotify	1s	metricshell_restart	initial_state_observed	observed	pass
layer	hybrid	100ms	initial_file	observed	observed	pass
layer	hybrid	100ms	initially_absent_then_created	observed	observed	pass
layer	hybrid	100ms	atomic_rename	observed	observed	pass
layer	hybrid	100ms	repeated_replacement_100	final_observed	observed	pass
layer	hybrid	100ms	writer_crash_before_rename	last_valid_103	103	pass
layer	hybrid	100ms	invalid_update_retains_last_valid	103	103	pass
layer	hybrid	100ms	file_deletion_retains_last_valid	103	103	pass
layer	hybrid	100ms	directory_recreation	observed	observed	pass
layer	hybrid	100ms	metricshell_restart	initial_state_observed	observed	pass
layer	hybrid	1s	initial_file	observed	observed	pass
layer	hybrid	1s	initially_absent_then_created	observed	observed	pass
layer	hybrid	1s	atomic_rename	observed	observed	pass
layer	hybrid	1s	repeated_replacement_100	final_observed	observed	pass
layer	hybrid	1s	writer_crash_before_rename	last_valid_103	103	pass
layer	hybrid	1s	invalid_update_retains_last_valid	103	103	pass
layer	hybrid	1s	file_deletion_retains_last_valid	103	103	pass
layer	hybrid	1s	directory_recreation	observed	observed	pass
layer	hybrid	1s	metricshell_restart	initial_state_observed	observed	pass
tmpfs	poll	10ms	initial_file	observed	observed	pass
tmpfs	poll	10ms	initially_absent_then_created	observed	observed	pass
tmpfs	poll	10ms	atomic_rename	observed	observed	pass
tmpfs	poll	10ms	repeated_replacement_100	final_observed	observed	pass
tmpfs	poll	10ms	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	poll	10ms	invalid_update_retains_last_valid	103	103	pass
tmpfs	poll	10ms	file_deletion_retains_last_valid	103	103	pass
tmpfs	poll	10ms	directory_recreation	observed	observed	pass
tmpfs	poll	10ms	metricshell_restart	initial_state_observed	observed	pass
tmpfs	poll	100ms	initial_file	observed	observed	pass
tmpfs	poll	100ms	initially_absent_then_created	observed	observed	pass
tmpfs	poll	100ms	atomic_rename	observed	observed	pass
tmpfs	poll	100ms	repeated_replacement_100	final_observed	observed	pass
tmpfs	poll	100ms	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	poll	100ms	invalid_update_retains_last_valid	103	103	pass
tmpfs	poll	100ms	file_deletion_retains_last_valid	103	103	pass
tmpfs	poll	100ms	directory_recreation	observed	observed	pass
tmpfs	poll	100ms	metricshell_restart	initial_state_observed	observed	pass
tmpfs	poll	1s	initial_file	observed	observed	pass
tmpfs	poll	1s	initially_absent_then_created	observed	observed	pass
tmpfs	poll	1s	atomic_rename	observed	observed	pass
tmpfs	poll	1s	repeated_replacement_100	final_observed	observed	pass
tmpfs	poll	1s	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	poll	1s	invalid_update_retains_last_valid	103	103	pass
tmpfs	poll	1s	file_deletion_retains_last_valid	103	103	pass
tmpfs	poll	1s	directory_recreation	observed	observed	pass
tmpfs	poll	1s	metricshell_restart	initial_state_observed	observed	pass
tmpfs	inotify	1s	initial_file	observed	observed	pass
tmpfs	inotify	1s	initially_absent_then_created	observed	observed	pass
tmpfs	inotify	1s	atomic_rename	observed	observed	pass
tmpfs	inotify	1s	repeated_replacement_100	final_observed	observed	pass
tmpfs	inotify	1s	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	inotify	1s	invalid_update_retains_last_valid	103	103	pass
tmpfs	inotify	1s	file_deletion_retains_last_valid	103	103	pass
tmpfs	inotify	1s	directory_recreation	observed	observed	pass
tmpfs	inotify	1s	metricshell_restart	initial_state_observed	observed	pass
tmpfs	hybrid	100ms	initial_file	observed	observed	pass
tmpfs	hybrid	100ms	initially_absent_then_created	observed	observed	pass
tmpfs	hybrid	100ms	atomic_rename	observed	observed	pass
tmpfs	hybrid	100ms	repeated_replacement_100	final_observed	observed	pass
tmpfs	hybrid	100ms	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	hybrid	100ms	invalid_update_retains_last_valid	103	103	pass
tmpfs	hybrid	100ms	file_deletion_retains_last_valid	103	103	pass
tmpfs	hybrid	100ms	directory_recreation	observed	observed	pass
tmpfs	hybrid	100ms	metricshell_restart	initial_state_observed	observed	pass
tmpfs	hybrid	1s	initial_file	observed	observed	pass
tmpfs	hybrid	1s	initially_absent_then_created	observed	observed	pass
tmpfs	hybrid	1s	atomic_rename	observed	observed	pass
tmpfs	hybrid	1s	repeated_replacement_100	final_observed	observed	pass
tmpfs	hybrid	1s	writer_crash_before_rename	last_valid_103	103	pass
tmpfs	hybrid	1s	invalid_update_retains_last_valid	103	103	pass
tmpfs	hybrid	1s	file_deletion_retains_last_valid	103	103	pass
tmpfs	hybrid	1s	directory_recreation	observed	observed	pass
tmpfs	hybrid	1s	metricshell_restart	initial_state_observed	observed	pass
volume	poll	10ms	initial_file	observed	observed	pass
volume	poll	10ms	initially_absent_then_created	observed	observed	pass
volume	poll	10ms	atomic_rename	observed	observed	pass
volume	poll	10ms	repeated_replacement_100	final_observed	observed	pass
volume	poll	10ms	writer_crash_before_rename	last_valid_103	103	pass
volume	poll	10ms	invalid_update_retains_last_valid	103	103	pass
volume	poll	10ms	file_deletion_retains_last_valid	103	103	pass
volume	poll	10ms	directory_recreation	observed	observed	pass
volume	poll	10ms	metricshell_restart	initial_state_observed	observed	pass
volume	poll	100ms	initial_file	observed	observed	pass
volume	poll	100ms	initially_absent_then_created	observed	observed	pass
volume	poll	100ms	atomic_rename	observed	observed	pass
volume	poll	100ms	repeated_replacement_100	final_observed	observed	pass
volume	poll	100ms	writer_crash_before_rename	last_valid_103	103	pass
volume	poll	100ms	invalid_update_retains_last_valid	103	103	pass
volume	poll	100ms	file_deletion_retains_last_valid	103	103	pass
volume	poll	100ms	directory_recreation	observed	observed	pass
volume	poll	100ms	metricshell_restart	initial_state_observed	observed	pass
volume	poll	1s	initial_file	observed	observed	pass
volume	poll	1s	initially_absent_then_created	observed	observed	pass
volume	poll	1s	atomic_rename	observed	observed	pass
volume	poll	1s	repeated_replacement_100	final_observed	observed	pass
volume	poll	1s	writer_crash_before_rename	last_valid_103	103	pass
volume	poll	1s	invalid_update_retains_last_valid	103	103	pass
volume	poll	1s	file_deletion_retains_last_valid	103	103	pass
volume	poll	1s	directory_recreation	observed	observed	pass
volume	poll	1s	metricshell_restart	initial_state_observed	observed	pass
volume	inotify	1s	initial_file	observed	observed	pass
volume	inotify	1s	initially_absent_then_created	observed	observed	pass
volume	inotify	1s	atomic_rename	observed	observed	pass
volume	inotify	1s	repeated_replacement_100	final_observed	observed	pass
volume	inotify	1s	writer_crash_before_rename	last_valid_103	103	pass
volume	inotify	1s	invalid_update_retains_last_valid	103	103	pass
volume	inotify	1s	file_deletion_retains_last_valid	103	103	pass
volume	inotify	1s	directory_recreation	observed	observed	pass
volume	inotify	1s	metricshell_restart	initial_state_observed	observed	pass
volume	hybrid	100ms	initial_file	observed	observed	pass
volume	hybrid	100ms	initially_absent_then_created	observed	observed	pass
volume	hybrid	100ms	atomic_rename	observed	observed	pass
volume	hybrid	100ms	repeated_replacement_100	final_observed	observed	pass
volume	hybrid	100ms	writer_crash_before_rename	last_valid_103	103	pass
volume	hybrid	100ms	invalid_update_retains_last_valid	103	103	pass
volume	hybrid	100ms	file_deletion_retains_last_valid	103	103	pass
volume	hybrid	100ms	directory_recreation	observed	observed	pass
volume	hybrid	100ms	metricshell_restart	initial_state_observed	observed	pass
volume	hybrid	1s	initial_file	observed	observed	pass
volume	hybrid	1s	initially_absent_then_created	observed	observed	pass
volume	hybrid	1s	atomic_rename	observed	observed	pass
volume	hybrid	1s	repeated_replacement_100	final_observed	observed	pass
volume	hybrid	1s	writer_crash_before_rename	last_valid_103	103	pass
volume	hybrid	1s	invalid_update_retains_last_valid	103	103	pass
volume	hybrid	1s	file_deletion_retains_last_valid	103	103	pass
volume	hybrid	1s	directory_recreation	observed	observed	pass
volume	hybrid	1s	metricshell_restart	initial_state_observed	observed	pass
